new data,,,,
,,,,
humidity,,,,
,precision,accuracy,recall,duration
cnn,0.86,0.84,0.84,139.22
fcn,0.96,0.95,0.96,3948.95
mcdcnn,0.69,0.57,0.59,10.23
mcnn,0.02,0.13,0.14,3079.92
mlp,0.86,0.85,0.85,507.57
resnet,0.98,0.98,0.98,6427.05
tlenet,0.11,0.33,0.33,2980.11
twiesn,0.93,0.93,0.93,1.58
encoder,0.95,0.94,0.92,4237.80
,,,,
dwind,,,,
,precision,accuracy,recall,duration
cnn,0.77,0.76,0.85,362.65
fcn,0.93,0.96,0.97,5320.81
mcdcnn,0.75,0.74,0.83,9.95
mcnn,0.01,0.08,0.07,1428.61
mlp,0.79,0.81,0.86,1668.41
resnet,0.88,0.85,0.93,7812.66
tlenet,0.01,0.08,0.07,7548.69
twiesn,0.71,0.70,0.78,1.17
encoder,0.81,0.80,0.79,6988.43
,,,,
COMED,,,,
,precision,accuracy,recall,duration
cnn,0.94,0.93,0.93,53.67
fcn,0.81,0.58,0.58,1289.74
mcdcnn,0.47,0.52,0.52,4.46
mcnn,0.11,0.33,0.33,967.02
mlp,0.93,0.92,0.92,425.05
resnet,0.97,0.97,0.97,2180.56
tlenet,0.11,0.33,0.33,2980.11
twiesn,0.96,0.95,0.95,1.16
encoder,0.93,0.92,0.92,1578.35
,,,,
AEP,,,,
,precision,accuracy,recall,duration
cnn,0.25,0.51,0.50,143.50
fcn,1.00,1.00,1.00,1954.73
mcdcnn,0.25,0.51,0.50,5.67
mcnn,0.25,0.51,0.50,574.33
mlp,0.86,0.86,0.86,792.37
resnet,0.99,0.99,1.00,3279.10
tlenet,0.25,0.49,0.50,2332.00
twiesn,0.92,0.91,0.91,2.66
encoder,0.96,0.95,0.94,689.24
