original data,,,,
,,,,
beef,,,,
,precision,accuracy,recall,duration
cnn,0.73,0.76,0.71,76.75
fcn,0.67,0.70,0.64,522.58
mcdcnn,0.85,0.56,0.83,3.01
mcnn,0.12,0.20,0.50,266.89
mlp,0.92,0.72,0.92,378.63
resnet,0.77,0.75,0.77,864.23
tlenet,0.09,0.20,0.50,634.27
twiesn,0.26,0.54,0.25,0.58
encoder,0.61,0.64,0.59,165.67
,,,,
,,,,
,,,,
PickupGestureWiimoteZ,,,,
,precision,accuracy,recall,duration
cnn,0.73,0.71,0.72,108.73
fcn,0.68,0.69,0.67,896.70
mcdcnn,0.61,0.62,0.55,3.89
mcnn,0.21,0.33,0.50,445.77
mlp,0.52,0.52,0.52,654.38
resnet,0.77,0.78,0.74,1388.64
tlenet,0.38,0.38,0.36,967.65
twiesn,0.67,0.68,0.50,0.66
encoder,0.72,0.74,0.71,247.79
,,,,
,,,,
ECG200,,,,
,precision,accuracy,recall,duration
cnn,0.83,0.84,0.81,50.75
fcn,0.87,0.88,0.86,495.58
mcdcnn,0.85,0.86,0.84,2.61
mcnn,0.32,0.64,0.50,209.16
mlp,0.92,0.92,0.91,334.30
resnet,0.89,0.88,0.85,890.95
tlenet,0.32,0.64,0.50,557.28
twiesn,0.79,0.79,0.74,0.23
encoder,0.84,0.85,0.83,247.79
